"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"lasR","None",1,16,"P_aeruginosa",15700000
"lasR","None",1,16,"PT7",8e+06
"lasR","None",1,16,"P_aeruginosa",16100000
"lasR","None",1,16,"PT7",8e+06
"lasR","None",1,16,"P_aeruginosa",5700000
"lasR","None",1,16,"PT7",8e+06
"lasR","None",1,16,"P_aeruginosa",82400000
"lasR","None",1,16,"PT7",8e+06
"lasR","None",1,16,"P_aeruginosa",41400000
"lasR","None",1,16,"PT7",1.27e+08
"lasR","None",1,16,"P_aeruginosa",15700000
"lasR","None",1,16,"PT7",1.27e+08
"lasR","None",1,16,"P_aeruginosa",16100000
"lasR","None",1,16,"PT7",1.27e+08
"lasR","None",1,16,"P_aeruginosa",5700000
"lasR","None",1,16,"PT7",1.27e+08
"lasR","None",1,16,"P_aeruginosa",82400000
"lasR","None",1,16,"PT7",1.27e+08
"lasR","None",1,16,"P_aeruginosa",41400000
"lasR","None",1,16,"PT7",1.48e+08
"lasR","None",1,16,"P_aeruginosa",15700000
"lasR","None",1,16,"PT7",1.48e+08
"lasR","None",1,16,"P_aeruginosa",16100000
"lasR","None",1,16,"PT7",1.48e+08
"lasR","None",1,16,"P_aeruginosa",5700000
"lasR","None",1,16,"PT7",1.48e+08
"lasR","None",1,16,"P_aeruginosa",82400000
"lasR","None",1,16,"PT7",1.48e+08
"lasR","None",1,16,"P_aeruginosa",41400000
"lasR","None",1,16,"PT7",6.9e+07
"lasR","None",1,16,"P_aeruginosa",15700000
"lasR","None",1,16,"PT7",6.9e+07
"lasR","None",1,16,"P_aeruginosa",16100000
"lasR","None",1,16,"PT7",6.9e+07
"lasR","None",1,16,"P_aeruginosa",5700000
"lasR","None",1,16,"PT7",6.9e+07
"lasR","None",1,16,"P_aeruginosa",82400000
"lasR","None",1,16,"PT7",6.9e+07
"lasR","None",1,16,"P_aeruginosa",41400000
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",560000
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",340000
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",2010000
"PAO1","Sa",1,16,"PT7",112000
"PAO1","Sa",1,16,"P_aeruginosa",560000
"PAO1","Sa",1,16,"PT7",112000
"PAO1","Sa",1,16,"P_aeruginosa",0
