"Focal_strain","Bact_community","Phage_presence","Time_day","Pop","Density","Rep_pop","Study"
"PA14","PA+AB+BC+SA",1,1,"BC",12080000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",12760000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",10360000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",10640000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",9540000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",11780000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",10680000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",11680000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",11060000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",NA,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",NA,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",10420000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",10820000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",11720000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",13540000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",13080000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",13840000,"6","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",23200000,"1","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",24400000,"1","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",16380000,"1","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",28600000,"2","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",2.8e+07,"2","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",26400000,"2","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",23800000,"3","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",23400000,"3","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",20600000,"3","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",23800000,"4","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",22600000,"4","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",22200000,"4","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",24200000,"5","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",25800000,"5","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",2.3e+07,"5","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",3e+07,"6","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",30200000,"6","Alseth_etal"
"PA14","PA+SA",1,1,"PA14",20800000,"6","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1426000,"1","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1482000,"1","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1528000,"1","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1602000,"2","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1746000,"2","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1704000,"2","Alseth_etal"
"PA14","PA+SA",1,1,"SA",466000,"3","Alseth_etal"
"PA14","PA+SA",1,1,"SA",468000,"3","Alseth_etal"
"PA14","PA+SA",1,1,"SA",474000,"3","Alseth_etal"
"PA14","PA+SA",1,1,"SA",540000,"4","Alseth_etal"
"PA14","PA+SA",1,1,"SA",548000,"4","Alseth_etal"
"PA14","PA+SA",1,1,"SA",624000,"4","Alseth_etal"
"PA14","PA+SA",1,1,"SA",916000,"5","Alseth_etal"
"PA14","PA+SA",1,1,"SA",944000,"5","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1024000,"5","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1262000,"6","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1320000,"6","Alseth_etal"
"PA14","PA+SA",1,1,"SA",1252000,"6","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",12580000,"1","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",12780000,"1","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",11860000,"1","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13980000,"2","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13720000,"2","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13660000,"2","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",14460000,"3","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",14060000,"3","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13140000,"3","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",16360000,"4","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",16520000,"4","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13460000,"4","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",12120000,"5","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",12520000,"5","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",12300000,"5","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13060000,"6","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",13580000,"6","Alseth_etal"
"PA14","PA+AB",1,1,"PA14",11300000,"6","Alseth_etal"
"PA14","PA+AB",1,1,"AB",6560000,"1","Alseth_etal"
"PA14","PA+AB",1,1,"AB",6120000,"1","Alseth_etal"
"PA14","PA+AB",1,1,"AB",6100000,"1","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7260000,"2","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7900000,"2","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7900000,"2","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7360000,"3","Alseth_etal"
"PA14","PA+AB",1,1,"AB",6860000,"3","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7480000,"3","Alseth_etal"
"PA14","PA+AB",1,1,"AB",9080000,"4","Alseth_etal"
"PA14","PA+AB",1,1,"AB",8600000,"4","Alseth_etal"
"PA14","PA+AB",1,1,"AB",8600000,"4","Alseth_etal"
"PA14","PA+AB",1,1,"AB",6200000,"5","Alseth_etal"
"PA14","PA+AB",1,1,"AB",6200000,"5","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7060000,"5","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7780000,"6","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7960000,"6","Alseth_etal"
"PA14","PA+AB",1,1,"AB",7500000,"6","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3580000,"1","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3740000,"1","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",4080000,"1","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3440000,"2","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3480000,"2","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3360000,"2","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3220000,"3","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3040000,"3","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3380000,"3","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",4240000,"4","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",4260000,"4","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",4600000,"4","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",6180000,"5","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",6300000,"5","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",6840000,"5","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3260000,"6","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3360000,"6","Alseth_etal"
"PA14","PA+BC",1,1,"PA14",3280000,"6","Alseth_etal"
"PA14","PA+BC",1,1,"BC",7900000,"1","Alseth_etal"
"PA14","PA+BC",1,1,"BC",7640000,"1","Alseth_etal"
"PA14","PA+BC",1,1,"BC",7640000,"1","Alseth_etal"
"PA14","PA+BC",1,1,"BC",3260000,"2","Alseth_etal"
"PA14","PA+BC",1,1,"BC",3820000,"2","Alseth_etal"
"PA14","PA+BC",1,1,"BC",3720000,"2","Alseth_etal"
"PA14","PA+BC",1,1,"BC",11360000,"3","Alseth_etal"
"PA14","PA+BC",1,1,"BC",11940000,"3","Alseth_etal"
"PA14","PA+BC",1,1,"BC",11080000,"3","Alseth_etal"
"PA14","PA+BC",1,1,"BC",10520000,"4","Alseth_etal"
"PA14","PA+BC",1,1,"BC",10920000,"4","Alseth_etal"
"PA14","PA+BC",1,1,"BC",10660000,"4","Alseth_etal"
"PA14","PA+BC",1,1,"BC",8280000,"5","Alseth_etal"
"PA14","PA+BC",1,1,"BC",8080000,"5","Alseth_etal"
"PA14","PA+BC",1,1,"BC",9820000,"5","Alseth_etal"
"PA14","PA+BC",1,1,"BC",3360000,"6","Alseth_etal"
"PA14","PA+BC",1,1,"BC",3600000,"6","Alseth_etal"
"PA14","PA+BC",1,1,"BC",3420000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",113200,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",112800,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",107000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",87000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",89800,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",90800,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",68800,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",71800,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",74400,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",99200,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",95400,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",99400,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",71400,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",73000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",71800,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",76400,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",76200,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"PA14",74000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",132000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",131200,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",132000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",107600,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",106600,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",107600,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",155000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",159200,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",164400,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",206000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",210000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",212000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",108600,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",110200,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",110800,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",46200,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",45800,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"SA",44200,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3900000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3800000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3740000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3880000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3740000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3780000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2700000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2920000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3140000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2720000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2780000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2780000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",3040000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2960000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2880000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",1986000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2100000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"AB",2e+06,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",27200000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",2.7e+07,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",19840000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",2.2e+07,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",21200000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",17080000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",17520000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",17940000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",17120000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",25400000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",24600000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",24800000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",22400000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",25600000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",2.3e+07,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",26400000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",27600000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,2,"BC",27400000,"6","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",23400000,"1","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",24400000,"1","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",16460000,"1","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",25600000,"2","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",23200000,"2","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",15580000,"2","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",22400000,"3","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",14120000,"3","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",NA,"3","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",22600000,"4","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",22600000,"4","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",19660000,"4","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",25800000,"5","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",24600000,"5","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",22400000,"5","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",22400000,"6","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",24200000,"6","Alseth_etal"
"PA14","PA+SA",1,2,"PA14",16380000,"6","Alseth_etal"
"PA14","PA+SA",1,2,"SA",1918000,"1","Alseth_etal"
"PA14","PA+SA",1,2,"SA",1908000,"1","Alseth_etal"
"PA14","PA+SA",1,2,"SA",1934000,"1","Alseth_etal"
"PA14","PA+SA",1,2,"SA",898000,"2","Alseth_etal"
"PA14","PA+SA",1,2,"SA",878000,"2","Alseth_etal"
"PA14","PA+SA",1,2,"SA",876000,"2","Alseth_etal"
"PA14","PA+SA",1,2,"SA",470000,"3","Alseth_etal"
"PA14","PA+SA",1,2,"SA",488000,"3","Alseth_etal"
"PA14","PA+SA",1,2,"SA",518000,"3","Alseth_etal"
"PA14","PA+SA",1,2,"SA",604000,"4","Alseth_etal"
"PA14","PA+SA",1,2,"SA",648000,"4","Alseth_etal"
"PA14","PA+SA",1,2,"SA",614000,"4","Alseth_etal"
"PA14","PA+SA",1,2,"SA",9e+05,"5","Alseth_etal"
"PA14","PA+SA",1,2,"SA",892000,"5","Alseth_etal"
"PA14","PA+SA",1,2,"SA",882000,"5","Alseth_etal"
"PA14","PA+SA",1,2,"SA",368000,"6","Alseth_etal"
"PA14","PA+SA",1,2,"SA",358000,"6","Alseth_etal"
"PA14","PA+SA",1,2,"SA",358000,"6","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",250000,"1","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",242000,"1","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",149800,"1","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",690000,"2","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",634000,"2","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",478000,"2","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",294000,"3","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",3e+05,"3","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",302000,"3","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",242000,"4","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",234000,"4","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",108000,"4","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",318000,"5","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",322000,"5","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",189000,"5","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",366000,"6","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",358000,"6","Alseth_etal"
"PA14","PA+AB",1,2,"PA14",352000,"6","Alseth_etal"
"PA14","PA+AB",1,2,"AB",60200000,"1","Alseth_etal"
"PA14","PA+AB",1,2,"AB",56200000,"1","Alseth_etal"
"PA14","PA+AB",1,2,"AB",5.6e+07,"1","Alseth_etal"
"PA14","PA+AB",1,2,"AB",30600000,"2","Alseth_etal"
"PA14","PA+AB",1,2,"AB",2.9e+07,"2","Alseth_etal"
"PA14","PA+AB",1,2,"AB",26600000,"2","Alseth_etal"
"PA14","PA+AB",1,2,"AB",21800000,"3","Alseth_etal"
"PA14","PA+AB",1,2,"AB",29200000,"3","Alseth_etal"
"PA14","PA+AB",1,2,"AB",28800000,"3","Alseth_etal"
"PA14","PA+AB",1,2,"AB",30800000,"4","Alseth_etal"
"PA14","PA+AB",1,2,"AB",29800000,"4","Alseth_etal"
"PA14","PA+AB",1,2,"AB",3.1e+07,"4","Alseth_etal"
"PA14","PA+AB",1,2,"AB",22200000,"5","Alseth_etal"
"PA14","PA+AB",1,2,"AB",21200000,"5","Alseth_etal"
"PA14","PA+AB",1,2,"AB",28200000,"5","Alseth_etal"
"PA14","PA+AB",1,2,"AB",35800000,"6","Alseth_etal"
"PA14","PA+AB",1,2,"AB",34800000,"6","Alseth_etal"
"PA14","PA+AB",1,2,"AB",31400000,"6","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",34600,"1","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",34800,"1","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",34800,"1","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",94000,"2","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",95400,"2","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",92200,"2","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",34200,"3","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",36400,"3","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",37600,"3","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",60400,"4","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",61000,"4","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",53600,"4","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",31200,"5","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",32200,"5","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",31200,"5","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",35200,"6","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",34400,"6","Alseth_etal"
"PA14","PA+BC",1,2,"PA14",33200,"6","Alseth_etal"
"PA14","PA+BC",1,2,"BC",6.8e+07,"1","Alseth_etal"
"PA14","PA+BC",1,2,"BC",67200000,"1","Alseth_etal"
"PA14","PA+BC",1,2,"BC",67800000,"1","Alseth_etal"
"PA14","PA+BC",1,2,"BC",5.8e+07,"2","Alseth_etal"
"PA14","PA+BC",1,2,"BC",57600000,"2","Alseth_etal"
"PA14","PA+BC",1,2,"BC",5.7e+07,"2","Alseth_etal"
"PA14","PA+BC",1,2,"BC",51400000,"3","Alseth_etal"
"PA14","PA+BC",1,2,"BC",5.4e+07,"3","Alseth_etal"
"PA14","PA+BC",1,2,"BC",57400000,"3","Alseth_etal"
"PA14","PA+BC",1,2,"BC",70200000,"4","Alseth_etal"
"PA14","PA+BC",1,2,"BC",69800000,"4","Alseth_etal"
"PA14","PA+BC",1,2,"BC",69200000,"4","Alseth_etal"
"PA14","PA+BC",1,2,"BC",5.8e+07,"5","Alseth_etal"
"PA14","PA+BC",1,2,"BC",6e+07,"5","Alseth_etal"
"PA14","PA+BC",1,2,"BC",57200000,"5","Alseth_etal"
"PA14","PA+BC",1,2,"BC",5e+07,"6","Alseth_etal"
"PA14","PA+BC",1,2,"BC",47400000,"6","Alseth_etal"
"PA14","PA+BC",1,2,"BC",4.7e+07,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",184000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",171800,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",2e+05,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",155400,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",142800,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",157400,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",112800,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",117000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",116000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",139000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",130200,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",124600,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",118200,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",125200,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",130600,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",250000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",236000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"PA14",256000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",366000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",132800,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",NA,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",418000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",444000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",458000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",1218000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",1258000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",1154000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",1082000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",1108000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",946000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",344000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",344000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",366000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",484000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",472000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"SA",546000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",5440000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",6480000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",6620000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",9980000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",9540000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",10120000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",10600000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",9280000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",7800000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",8740000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",9980000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",9320000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",6140000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",6040000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",6220000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",8940000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",10440000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"AB",9880000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",16660000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",16080000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",1.7e+07,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",17820000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",18920000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",18720000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",16420000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",16800000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",13640000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",15060000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,3,"BC",15100000,"4","Alseth_etal"
