"Focal_strain","Bact_community","Phage_presence","Time_day","Pop","Density","Rep_pop","Study"
"lasR","Pa+Sa",1,16,"PT7",3e+05,"1","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",3600000,"1","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",3.6e+07,"2","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",410000,"2","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",3e+08,"3","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",2900000,"3","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",76000,"4","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",186000,"4","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",1.4e+07,"5","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",45000,"5","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",1.62e+08,"1","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",10600000,"1","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",8.8e+07,"2","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",1.2e+07,"2","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",6.4e+07,"3","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",27600000,"3","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",2.21e+08,"4","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",20600000,"4","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",2.01e+08,"5","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",10300000,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",8e+06,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",348000,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",137000,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",0,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",1.3e+07,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",1550000,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",9e+06,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",5100000,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",6.4e+07,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",6e+05,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",4.2e+07,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",2300000,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",2.16e+08,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",16500000,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",1.82e+08,"3","Mumford_Friman"
