Treatment,Repeat,Primer set,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,R2,Efficiency,Slope,Notes/Comments
PA14 and SA,3,PA14 16s,11.791,11.658,0.116,1.03E+07,1.13E+07,8.76E+05,1,98.302,-3.363,Standard run
PA14 and SA,4,PA14 16s,11.579,11.639,0.053,1.19E+07,1.15E+07,4.22E+05,1,98.302,-3.363,Standard run
PA14 and SA,4,PA14 16s,11.66,11.639,0.053,1.13E+07,1.15E+07,4.22E+05,1,98.302,-3.363,Standard run
PA14 and SA,4,PA14 16s,11.679,11.639,0.053,1.11E+07,1.15E+07,4.22E+05,1,98.302,-3.363,Standard run
PA14 and SA,5,PA14 16s,11.555,11.551,0.088,1.21E+07,1.22E+07,7.35E+05,1,98.302,-3.363,Standard run
PA14 and SA,5,PA14 16s,11.461,11.551,0.088,1.29E+07,1.22E+07,7.35E+05,1,98.302,-3.363,Standard run
PA14 and SA,5,PA14 16s,11.637,11.551,0.088,1.15E+07,1.22E+07,7.35E+05,1,98.302,-3.363,Standard run
PA14 and SA,6,PA14 16s,11.25,11.419,0.309,1.50E+07,1.35E+07,2.67E+06,1,98.302,-3.363,Standard run
PA14 and SA,6,PA14 16s,11.232,11.419,0.309,1.51E+07,1.35E+07,2.67E+06,1,98.302,-3.363,Standard run
PA14 and SA,6,PA14 16s,11.775,11.419,0.309,1.04E+07,1.35E+07,2.67E+06,1,98.302,-3.363,Standard run
PA14 and SA,1,SA 0836,16.453,16.398,0.053,7.13E+05,7.39E+05,2.59E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,1,SA 0836,16.395,16.398,0.053,7.41E+05,7.39E+05,2.59E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,1,SA 0836,16.347,16.398,0.053,7.64E+05,7.39E+05,2.59E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,2,SA 0836,16.277,16.203,0.067,8.01E+05,8.42E+05,3.70E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,2,SA 0836,16.147,16.203,0.067,8.73E+05,8.42E+05,3.70E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,2,SA 0836,16.184,16.203,0.067,8.52E+05,8.42E+05,3.70E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,3,SA 0836,18.138,18.128,0.013,2.33E+05,2.35E+05,2.02E+03,0.999,94.063,-3.473,Standard run
PA14 and SA,3,SA 0836,18.134,18.128,0.013,2.34E+05,2.35E+05,2.02E+03,0.999,94.063,-3.473,Standard run
PA14 and SA,3,SA 0836,18.114,18.128,0.013,2.37E+05,2.35E+05,2.02E+03,0.999,94.063,-3.473,Standard run
PA14 and SA,4,SA 0836,17.914,17.836,0.117,2.70E+05,2.85E+05,2.27E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,4,SA 0836,17.892,17.836,0.117,2.74E+05,2.85E+05,2.27E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,4,SA 0836,17.701,17.836,0.117,3.12E+05,2.85E+05,2.27E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,5,SA 0836,17.118,17.047,0.087,4.58E+05,4.81E+05,2.80E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,5,SA 0836,17.073,17.047,0.087,4.72E+05,4.81E+05,2.80E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,5,SA 0836,16.951,17.047,0.087,5.12E+05,4.81E+05,2.80E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,6,SA 0836,16.636,16.618,0.042,6.31E+05,6.39E+05,1.81E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,6,SA 0836,16.57,16.618,0.042,6.60E+05,6.39E+05,1.81E+04,0.999,94.063,-3.473,Standard run
PA14 and SA,6,SA 0836,16.648,16.618,0.042,6.26E+05,6.39E+05,1.81E+04,0.999,94.063,-3.473,Standard run
PA14 and AB,1,PA14 16s,12.216,12.238,0.059,6.29E+06,6.20E+06,2.42E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,1,PA14 16s,12.193,12.238,0.059,6.39E+06,6.20E+06,2.42E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,1,PA14 16s,12.304,12.238,0.059,5.93E+06,6.20E+06,2.42E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,2,PA14 16s,12.058,12.079,0.019,6.99E+06,6.89E+06,8.75E+04,0.998,95.645,-3.431,Standard run
PA14 and AB,2,PA14 16s,12.087,12.079,0.019,6.86E+06,6.89E+06,8.75E+04,0.998,95.645,-3.431,Standard run
PA14 and AB,2,PA14 16s,12.093,12.079,0.019,6.83E+06,6.89E+06,8.75E+04,0.998,95.645,-3.431,Standard run
PA14 and AB,3,PA14 16s,12.008,12.069,0.073,7.23E+06,6.94E+06,3.36E+05,0.998,95.645,-3.431,Standard run
